file	percent	reads	taxon_id	taxon_name
kaiju_nr_euk_greedy.out	0.018671	5793	248744	Marvinbryantia
kaiju_nr_euk_greedy.out	0.018664	5791	29465	Veillonella
kaiju_nr_euk_greedy.out	0.018503	5741	28050	Lachnospira
kaiju_nr_euk_greedy.out	0.018319	5684	2518495	Duncaniella
kaiju_nr_euk_greedy.out	0.018142	5629	588605	Robinsoniella
kaiju_nr_euk_greedy.out	0.017510	5433	1763508	Lachnotalea
kaiju_nr_euk_greedy.out	0.017456	5416	40840	Succiniclasticum
kaiju_nr_euk_greedy.out	0.017404	5400	1348911	Coprobacter
kaiju_nr_euk_greedy.out	0.016450	5104	13366	Brettanomyces
kaiju_nr_euk_greedy.out	0.016360	5076	1573536	Faecalicoccus
kaiju_nr_euk_greedy.out	0.016302	5058	1843210	Anaerocolumna
kaiju_nr_euk_greedy.out	0.016089	4992	140625	Lachnobacterium
kaiju_nr_euk_greedy.out	0.015970	4955	423349	Mucilaginibacter
kaiju_nr_euk_greedy.out	0.015902	4934	698776	Cellulosilyticum
kaiju_nr_euk_greedy.out	0.015461	4797	2086	Anaeroplasma
kaiju_nr_euk_greedy.out	0.015109	4688	29521	Brachyspira
kaiju_nr_euk_greedy.out	0.015077	4678	1016	Capnocytophaga
kaiju_nr_euk_greedy.out	0.014858	4610	39948	Dialister
kaiju_nr_euk_greedy.out	0.014445	4482	1918511	Frisingicoccus
kaiju_nr_euk_greedy.out	0.014439	4480	2172	Methanobrevibacter
kaiju_nr_euk_greedy.out	0.014210	4409	561	Escherichia
kaiju_nr_euk_greedy.out	0.014155	4392	2048137	Agathobaculum
kaiju_nr_euk_greedy.out	0.014120	4381	158846	Megamonas
kaiju_nr_euk_greedy.out	0.014007	4346	2163168	Kineothrix
kaiju_nr_euk_greedy.out	0.013930	4322	89966	Hymenobacter
kaiju_nr_euk_greedy.out	0.013823	4289	1508657	Ruminiclostridium
kaiju_nr_euk_greedy.out	0.013723	4258	79206	Desulfosporosinus
kaiju_nr_euk_greedy.out	0.013047	4048	434	Acetobacter
kaiju_nr_euk_greedy.out	0.012869	3993	294702	Proteiniphilum
kaiju_nr_euk_greedy.out	0.012834	3982	162289	Peptoniphilus
kaiju_nr_euk_greedy.out	0.012670	3931	423604	Elusimicrobium
kaiju_nr_euk_greedy.out	0.012389	3844	1663717	Herbinix
kaiju_nr_euk_greedy.out	0.011986	3719	1505663	Erysipelatoclostridium
kaiju_nr_euk_greedy.out	0.011783	3656	2034765	Massilibacteroides
kaiju_nr_euk_greedy.out	0.011764	3650	55506	Schwartzia
kaiju_nr_euk_greedy.out	0.011748	3645	1905344	Ruthenibacterium
kaiju_nr_euk_greedy.out	0.011168	3465	2304692	Hungateiclostridium
kaiju_nr_euk_greedy.out	0.011029	3422	1716	Corynebacterium
kaiju_nr_euk_greedy.out	0.010823	3358	2039240	Anaerotignum
kaiju_nr_euk_greedy.out	0.010694	3318	241189	Hespellia
kaiju_nr_euk_greedy.out	0.010668	3310	1981028	Mailhella
kaiju_nr_euk_greedy.out	0.010230	3174	1432051	Eisenbergiella
kaiju_nr_euk_greedy.out	0.010133	3144	1924105	Neglecta
kaiju_nr_euk_greedy.out	0.010065	3123	990721	Christensenella
kaiju_nr_euk_greedy.out	0.010014	3107	1935176	Angelakisella
kaiju_nr_euk_greedy.out	0.009898	3071	246875	Algoriphagus
kaiju_nr_euk_greedy.out	0.009833	3051	2383	Epulopiscium
kaiju_nr_euk_greedy.out	0.009791	3038	1766253	Agathobacter
kaiju_nr_euk_greedy.out	0.009733	3020	307628	Petrimonas
kaiju_nr_euk_greedy.out	0.009630	2988	84111	Eggerthella
kaiju_nr_euk_greedy.out	0.009511	2951	1924081	Bariatricus
